Area,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
"Grand Lake, CO",12/30/2024,7:53 PM,34ʡF,7ʡF,32ʡ%,WNW,20ʡmph,28ʡmph,24.39ʡin,0.0ʡin,Partly Cloudy
"Grand Lake, CO",12/30/2024,8:49 PM,30ʡF,9ʡF,40ʡ%,W,17ʡmph,0ʡmph,24.41ʡin,0.0ʡin,Partly Cloudy
"Grand Lake, CO",12/30/2024,9:46 PM,30ʡF,9ʡF,40ʡ%,W,18ʡmph,28ʡmph,24.42ʡin,0.0ʡin,Partly Cloudy
"Grand Lake, CO",12/30/2024,10:15 PM,32ʡF,7ʡF,35ʡ%,WNW,18ʡmph,23ʡmph,24.42ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,10:35 PM,32ʡF,7ʡF,35ʡ%,WNW,16ʡmph,22ʡmph,24.41ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,10:55 PM,32ʡF,5ʡF,32ʡ%,WNW,10ʡmph,0ʡmph,24.43ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,11:15 PM,30ʡF,5ʡF,34ʡ%,WNW,8ʡmph,0ʡmph,24.42ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,11:35 PM,30ʡF,5ʡF,34ʡ%,WNW,6ʡmph,0ʡmph,24.42ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,11:55 PM,30ʡF,5ʡF,34ʡ%,W,9ʡmph,0ʡmph,24.42ʡin,0.0ʡin,Fair
"Buellton, CA",12/30/2024,12:53 AM,50ʡF,48ʡF,93ʡ%,NNW,3ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fair
"Buellton, CA",12/30/2024,1:53 AM,47ʡF,46ʡF,97ʡ%,WNW,3ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Fair
"Buellton, CA",12/30/2024,2:53 AM,47ʡF,46ʡF,97ʡ%,CALM,0ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Fair
"Buellton, CA",12/30/2024,3:25 AM,48ʡF,47ʡF,96ʡ%,CALM,0ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Partly Cloudy
"Buellton, CA",12/30/2024,3:34 AM,44ʡF,44ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Mostly Cloudy
"Buellton, CA",12/30/2024,3:44 AM,45ʡF,44ʡF,97ʡ%,NE,5ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Cloudy
"Buellton, CA",12/30/2024,3:53 AM,48ʡF,46ʡF,93ʡ%,NE,3ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Cloudy
"Buellton, CA",12/30/2024,4:07 AM,48ʡF,47ʡF,96ʡ%,CALM,0ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,4:16 AM,48ʡF,48ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,4:53 AM,50ʡF,49ʡF,96ʡ%,NE,5ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,5:53 AM,51ʡF,51ʡF,100ʡ%,NNE,5ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,6:53 AM,51ʡF,50ʡF,96ʡ%,N,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,7:53 AM,53ʡF,52ʡF,96ʡ%,NE,5ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,8:13 AM,53ʡF,53ʡF,100ʡ%,NNE,3ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,8:53 AM,54ʡF,53ʡF,97ʡ%,NNE,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,9:00 AM,54ʡF,53ʡF,97ʡ%,NE,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,9:53 AM,54ʡF,52ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,30.08ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,10:53 AM,55ʡF,52ʡF,89ʡ%,SSE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,11:53 AM,57ʡF,52ʡF,83ʡ%,SSE,8ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Mostly Cloudy
"Buellton, CA",12/30/2024,12:53 PM,55ʡF,52ʡF,89ʡ%,VAR,5ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Mostly Cloudy
"Buellton, CA",12/30/2024,1:53 PM,56ʡF,52ʡF,87ʡ%,SSE,7ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy
"Buellton, CA",12/30/2024,2:38 PM,56ʡF,52ʡF,87ʡ%,WSW,5ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Partly Cloudy
"Buellton, CA",12/30/2024,2:53 PM,57ʡF,52ʡF,83ʡ%,CALM,0ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Haze
"Buellton, CA",12/30/2024,3:53 PM,53ʡF,51ʡF,93ʡ%,SE,6ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Haze
"Buellton, CA",12/30/2024,4:11 PM,52ʡF,52ʡF,100ʡ%,SSE,7ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Haze
"Buellton, CA",12/30/2024,4:24 PM,51ʡF,51ʡF,100ʡ%,SE,5ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,4:35 PM,51ʡF,51ʡF,100ʡ%,SE,5ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,4:53 PM,52ʡF,51ʡF,97ʡ%,SE,3ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,5:24 PM,52ʡF,51ʡF,97ʡ%,CALM,0ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,5:53 PM,52ʡF,52ʡF,100ʡ%,E,3ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Mist
"Buellton, CA",12/30/2024,6:09 PM,52ʡF,51ʡF,97ʡ%,CALM,0ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,6:53 PM,52ʡF,51ʡF,97ʡ%,NE,5ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,7:53 PM,51ʡF,51ʡF,100ʡ%,SSE,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,8:53 PM,50ʡF,50ʡF,100ʡ%,SSE,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,9:53 PM,50ʡF,50ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,10:53 PM,49ʡF,49ʡF,100ʡ%,NNW,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,11:00 PM,49ʡF,49ʡF,100ʡ%,NNW,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fog
"Buellton, CA",12/30/2024,11:53 PM,49ʡF,48ʡF,97ʡ%,CALM,0ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,12:53 AM,73ʡF,64ʡF,73ʡ%,NNE,9ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,1:03 AM,73ʡF,0ʡF,0ʡ%,NNE,9ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,1:06 AM,73ʡF,0ʡF,0ʡ%,NE,9ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,1:13 AM,73ʡF,0ʡF,0ʡ%,NE,12ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,1:17 AM,73ʡF,0ʡF,0ʡ%,NE,9ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Haze
"Kilauea, HI",12/30/2024,1:24 AM,74ʡF,0ʡF,0ʡ%,NE,10ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,1:39 AM,73ʡF,0ʡF,0ʡ%,ENE,13ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,1:53 AM,73ʡF,0ʡF,0ʡ%,NE,10ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,1:57 AM,73ʡF,0ʡF,0ʡ%,NE,10ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,2:10 AM,74ʡF,0ʡF,0ʡ%,ENE,10ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,2:16 AM,74ʡF,0ʡF,0ʡ%,NE,10ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,2:26 AM,74ʡF,74ʡF,100ʡ%,ENE,9ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,2:30 AM,74ʡF,74ʡF,100ʡ%,ENE,16ʡmph,22ʡmph,29.95ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,2:32 AM,74ʡF,74ʡF,100ʡ%,ENE,12ʡmph,22ʡmph,29.95ʡin,0.0ʡin,Light Rain
"Kilauea, HI",12/30/2024,2:42 AM,72ʡF,72ʡF,100ʡ%,,0ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Light Rain
"Kilauea, HI",12/30/2024,2:53 AM,72ʡF,0ʡF,0ʡ%,ENE,9ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,3:12 AM,73ʡF,0ʡF,0ʡ%,NE,10ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Mist
"Kilauea, HI",12/30/2024,3:22 AM,73ʡF,0ʡF,0ʡ%,NE,9ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,3:27 AM,73ʡF,0ʡF,0ʡ%,NE,9ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,3:48 AM,73ʡF,73ʡF,100ʡ%,ENE,12ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,3:53 AM,73ʡF,73ʡF,100ʡ%,ENE,9ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,4:39 AM,73ʡF,0ʡF,0ʡ%,NNE,15ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Light Rain
"Kilauea, HI",12/30/2024,4:53 AM,72ʡF,0ʡF,0ʡ%,NNE,8ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,5:22 AM,73ʡF,0ʡF,0ʡ%,NE,15ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,5:42 AM,73ʡF,73ʡF,100ʡ%,NE,10ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,5:50 AM,73ʡF,73ʡF,100ʡ%,NE,12ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,5:53 AM,73ʡF,0ʡF,0ʡ%,NE,12ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,6:00 AM,70ʡF,64ʡF,81ʡ%,NNE,14ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,6:53 AM,68ʡF,64ʡF,87ʡ%,NNE,12ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,7:53 AM,70ʡF,64ʡF,81ʡ%,ENE,13ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,8:53 AM,72ʡF,68ʡF,87ʡ%,NNE,14ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Light Rain
"Kilauea, HI",12/30/2024,9:53 AM,75ʡF,68ʡF,79ʡ%,NE,16ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,10:53 AM,79ʡF,79ʡF,100ʡ%,NE,14ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,11:00 AM,79ʡF,78ʡF,97ʡ%,ENE,12ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,11:23 AM,78ʡF,67ʡF,68ʡ%,NE,13ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,11:33 AM,78ʡF,67ʡF,68ʡ%,NE,13ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,11:53 AM,78ʡF,67ʡF,68ʡ%,ENE,14ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fair
"Kilauea, HI",12/30/2024,12:02 PM,80ʡF,78ʡF,94ʡ%,ENE,15ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fog
"Kilauea, HI",12/30/2024,12:05 PM,79ʡF,66ʡF,64ʡ%,ENE,12ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,12:53 PM,77ʡF,66ʡF,69ʡ%,ENE,14ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,1:53 PM,81ʡF,67ʡF,62ʡ%,ENE,14ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,2:53 PM,81ʡF,66ʡF,60ʡ%,ENE,14ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,3:53 PM,79ʡF,77ʡF,94ʡ%,NE,14ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,4:14 PM,78ʡF,77ʡF,96ʡ%,NE,13ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,4:24 PM,77ʡF,77ʡF,100ʡ%,ENE,15ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,4:53 PM,77ʡF,77ʡF,100ʡ%,ENE,14ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,5:04 PM,77ʡF,63ʡF,62ʡ%,ENE,14ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,5:09 PM,77ʡF,63ʡF,62ʡ%,ENE,14ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Haze
"Kilauea, HI",12/30/2024,5:17 PM,77ʡF,63ʡF,62ʡ%,ENE,14ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,5:53 PM,77ʡF,63ʡF,62ʡ%,ENE,15ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,6:53 PM,75ʡF,75ʡF,100ʡ%,ENE,17ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fair
"Kilauea, HI",12/30/2024,7:53 PM,75ʡF,74ʡF,96ʡ%,E,17ʡmph,0ʡmph,29.96ʡin,0.0ʡin,Fair
"Kilauea, HI",12/30/2024,8:53 PM,76ʡF,76ʡF,100ʡ%,NE,13ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,9:04 PM,76ʡF,76ʡF,100ʡ%,NE,14ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Cloudy
"Kilauea, HI",12/30/2024,9:27 PM,72ʡF,63ʡF,73ʡ%,ENE,14ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Mostly Cloudy
"Kilauea, HI",12/30/2024,9:53 PM,72ʡF,63ʡF,73ʡ%,ENE,15ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Partly Cloudy
"Kilauea, HI",12/30/2024,10:53 PM,72ʡF,63ʡF,73ʡ%,ENE,16ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Haze
"Kilauea, HI",12/30/2024,11:00 PM,72ʡF,61ʡF,68ʡ%,E,15ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair
"Kilauea, HI",12/30/2024,11:53 PM,72ʡF,61ʡF,68ʡ%,ENE,13ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Mostly Cloudy
"Honolulu, HI",12/30/2024,12:53 AM,73ʡF,67ʡF,81ʡ%,NW,3ʡmph,0ʡmph,30.11ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,1:53 AM,72ʡF,67ʡF,84ʡ%,NW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,2:53 AM,71ʡF,67ʡF,87ʡ%,NW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,3:53 AM,71ʡF,67ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.08ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,4:53 AM,70ʡF,67ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,30.08ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,5:53 AM,71ʡF,67ʡF,87ʡ%,NNW,7ʡmph,0ʡmph,30.08ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,6:53 AM,70ʡF,68ʡF,93ʡ%,WNW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,7:53 AM,71ʡF,68ʡF,90ʡ%,NNW,5ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,8:53 AM,74ʡF,67ʡF,79ʡ%,NE,12ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Mostly Cloudy
"Honolulu, HI",12/30/2024,9:53 AM,79ʡF,66ʡF,64ʡ%,NE,14ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,10:53 AM,82ʡF,65ʡF,56ʡ%,ENE,14ʡmph,23ʡmph,30.12ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,11:53 AM,83ʡF,66ʡF,56ʡ%,ENE,20ʡmph,26ʡmph,30.09ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,12:53 PM,83ʡF,65ʡF,54ʡ%,ENE,20ʡmph,29ʡmph,30.06ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,1:53 PM,83ʡF,65ʡF,54ʡ%,ENE,18ʡmph,26ʡmph,30.04ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,2:53 PM,84ʡF,65ʡF,53ʡ%,NE,18ʡmph,28ʡmph,30.04ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,3:53 PM,82ʡF,65ʡF,56ʡ%,ENE,20ʡmph,26ʡmph,30.03ʡin,0.0ʡin,Partly Cloudy
"Honolulu, HI",12/30/2024,4:53 PM,81ʡF,65ʡF,58ʡ%,NE,12ʡmph,22ʡmph,30.04ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,5:53 PM,78ʡF,64ʡF,62ʡ%,NE,9ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,6:53 PM,77ʡF,64ʡF,64ʡ%,ENE,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,7:53 PM,77ʡF,64ʡF,64ʡ%,NE,18ʡmph,23ʡmph,30.09ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,8:53 PM,77ʡF,65ʡF,66ʡ%,ENE,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,9:53 PM,77ʡF,65ʡF,66ʡ%,ENE,18ʡmph,25ʡmph,30.12ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,10:53 PM,77ʡF,65ʡF,66ʡ%,ENE,15ʡmph,24ʡmph,30.12ʡin,0.0ʡin,Fair
"Honolulu, HI",12/30/2024,11:53 PM,76ʡF,65ʡF,69ʡ%,ENE,16ʡmph,0ʡmph,30.11ʡin,0.0ʡin,Fair
"Madison, NH",12/30/2024,12:38 AM,36ʡF,36ʡF,100ʡ%,N,3ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fog
"Madison, NH",12/30/2024,12:51 AM,36ʡF,36ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fog
"Madison, NH",12/30/2024,1:00 AM,36ʡF,36ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fog
"Madison, NH",12/30/2024,1:51 AM,36ʡF,36ʡF,100ʡ%,NW,5ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mist
"Madison, NH",12/30/2024,1:57 AM,36ʡF,36ʡF,100ʡ%,WNW,6ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mist
"Madison, NH",12/30/2024,2:03 AM,36ʡF,36ʡF,100ʡ%,WNW,3ʡmph,0ʡmph,29.79ʡin,0.0ʡin,Mist
"Madison, NH",12/30/2024,2:11 AM,37ʡF,37ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.79ʡin,0.0ʡin,Mist
"Madison, NH",12/30/2024,2:31 AM,37ʡF,37ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Mist
"Madison, NH",12/30/2024,2:51 AM,37ʡF,37ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Cloudy
"Madison, NH",12/30/2024,3:51 AM,38ʡF,38ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
"Madison, NH",12/30/2024,4:51 AM,46ʡF,45ʡF,96ʡ%,SSE,7ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Cloudy
"Madison, NH",12/30/2024,5:51 AM,47ʡF,46ʡF,97ʡ%,S,9ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Cloudy
"Madison, NH",12/30/2024,6:51 AM,48ʡF,47ʡF,96ʡ%,S,9ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Light Rain
"Madison, NH",12/30/2024,7:51 AM,49ʡF,47ʡF,93ʡ%,SSE,9ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Cloudy
"Madison, NH",12/30/2024,8:51 AM,50ʡF,48ʡF,93ʡ%,S,14ʡmph,24ʡmph,29.62ʡin,0.0ʡin,Rain
"Madison, NH",12/30/2024,9:06 AM,49ʡF,48ʡF,97ʡ%,SSW,10ʡmph,26ʡmph,29.63ʡin,0.1ʡin,Rain
"Madison, NH",12/30/2024,9:15 AM,49ʡF,48ʡF,97ʡ%,S,9ʡmph,20ʡmph,29.63ʡin,0.1ʡin,Heavy Rain
"Madison, NH",12/30/2024,9:41 AM,49ʡF,48ʡF,97ʡ%,SSE,10ʡmph,21ʡmph,29.60ʡin,0.2ʡin,Heavy Rain
"Madison, NH",12/30/2024,9:51 AM,49ʡF,49ʡF,100ʡ%,S,9ʡmph,21ʡmph,29.60ʡin,0.3ʡin,Heavy Rain
"Madison, NH",12/30/2024,10:46 AM,48ʡF,48ʡF,100ʡ%,S,10ʡmph,26ʡmph,29.55ʡin,0.1ʡin,Light Rain
"Madison, NH",12/30/2024,10:51 AM,49ʡF,49ʡF,100ʡ%,S,13ʡmph,23ʡmph,29.54ʡin,0.1ʡin,Light Rain
"Madison, NH",12/30/2024,11:09 AM,49ʡF,49ʡF,100ʡ%,S,15ʡmph,24ʡmph,29.52ʡin,0.0ʡin,Light Rain
"Madison, NH",12/30/2024,11:51 AM,50ʡF,50ʡF,100ʡ%,S,17ʡmph,32ʡmph,29.48ʡin,0.1ʡin,Light Rain
"Madison, NH",12/30/2024,12:36 PM,49ʡF,49ʡF,100ʡ%,S,10ʡmph,23ʡmph,29.45ʡin,0.1ʡin,Rain
